60181894 printList printUsersList 2022.10.29.21:10:29
60181894 printCourseList printCoursesList 2022.10.29.21:10:32
60181894 Enrollmentiscompleted applyCourse 2022.10.29.21:10:34
60181894 displayEnrollmentHistory displayApplyHistory 2022.10.29.21:10:39
60181894 printCourseList printCoursesList 2022.10.29.21:10:47
60181894 Enrollmentiscompleted applyCourse 2022.10.29.21:10:49
60181894 readpreCourse readPreCoursesList 2022.10.29.21:11:00
60181894 printCourseList printCoursesList 2022.10.29.21:11:07
60181894 Enrollmentiscompleted applyCourse 2022.10.29.21:11:09
60181894 logOutCompleted.. exit 2022.10.29.21:11:25
aswi35 printCourseList printCoursesList 2022.10.29.21:13:12
aswi35 printCourseList printCoursesList 2022.10.29.21:18:49
aswi35 printCourseList printCoursesList 2022.10.29.21:22:31
aswi35 printCourseList printCoursesList 2022.10.29.21:23:34
aswi35 printCourseList printCoursesList 2022.10.29.21:25:18
aswi35 Enrollmentiscompleted applyCourse 2022.10.29.21:25:21
aswi35 removeEnrollmentHistory removeApplyHistory 2022.10.29.21:26:29
aswi35 printCourseList printCoursesList 2022.10.29.21:26:32
aswi35 Enrollmentiscompleted applyCourse 2022.10.29.21:26:37
aswi35 displayEnrollmentHistory displayApplyHistory 2022.10.29.21:27:04
aswi35 logOutCompleted.. exit 2022.10.29.21:27:17
